Card                            Price StdDev Average  High    Low   Change Raw N
----                            ----- ------ ------- ------- ------ ------ -----
Akroma's Blessing,               0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Akroma's Devoted,                0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Akroma's Memorial,               4.14,  1.44,   4.67,   8.00,   2.75,  0.00,  20
Akroma's Vengeance,              1.13,  0.93,   1.26,   2.93,   0.08,  0.03,  19
Akroma, Angel of Fury,           2.96,  1.41,   2.97,   7.50,   0.67, -0.00,  25
Akroma, Angel of Wrath (LGN),    4.78,  2.37,   5.55,   9.99,   2.38,  0.06,  17
Akroma, Angel of Wrath (TSB),    5.70,  2.97,   6.04,   9.05,   1.54,  0.09,  28
Akron Legionnaire (5th),         0.50,  0.00,   0.50,   0.50,   0.50,  0.00,   1
Akron Legionnaire (CH),          0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Akron Legionnaire (LE),          0.33,  0.00,   0.33,   0.33,   0.33,  0.00,   2
Aku Djinn,                       0.40,  0.36,   0.40,   0.99,   0.01, -0.00,   4
Akuta, Born of Ash,              0.28,  0.04,   0.28,   0.33,   0.25, -0.00,   3
Al-abara's Carpet,               2.95,  0.00,   2.95,   2.95,   2.95,  0.00,   1
Alabaster Dragon (PT),           1.99,  0.88,   1.37,   1.99,   0.12,  0.21,   3
Alabaster Dragon (WL),           0.43,  0.86,   0.83,   2.45,   0.07, -0.00,  10
Alabaster Leech,                 0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Alabaster Potion (4th),          0.26,  0.00,   0.26,   0.26,   0.26,  0.00,   1
Alabaster Potion (5th),          0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Alabaster Potion (LE),           1.00,  0.00,   1.00,   1.00,   1.00,  0.00,   1
Alabaster Wall,                  0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Alaborn Cavalier,                0.99,  0.00,   0.99,   0.99,   0.99,  0.00,   1
Alaborn Grenadier,               0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Alaborn Veteran,                 0.06,  0.00,   0.06,   0.06,   0.06,  0.00,   1
Alaborn Zealot,                  0.07,  0.00,   0.07,   0.07,   0.07,  0.00,   1
Aladdin (AN),                    7.50,  0.00,   7.50,   7.50,   7.50,  0.00,   1
Aladdin (CH),                    4.99,  0.00,   4.99,   4.99,   4.99,  0.00,   1
Aladdin's Lamp (4th),            0.49,  0.00,   0.49,   0.49,   0.49,  0.00,   1
Aladdin's Lamp (RV),             0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Aladdin's Ring (4th),            0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Aladdin's Ring (5th),            0.50,  0.00,   0.50,   0.50,   0.50,  0.00,   1
Aladdin's Ring (6th),            0.29,  0.00,   0.29,   0.29,   0.29,  0.00,   1
Aladdin's Ring (7th),            0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Aladdin's Ring (8th),            0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
